detector,thr,confirm,persist,censor,TPR,premature,FPR,delay,lead,regime_acc,seed
pe,1.25,2,2,True,93.83333333333333,6.166666666666667,19.333333333333332,1.7069271758436946,3.8596802841918296,87.56660746003553,7
pe,1.25,2,2,True,93.83333333333333,6.0,19.333333333333332,1.6465364120781527,3.8685612788632326,89.52042628774423,17
pe,1.25,2,2,True,93.0,7.000000000000001,17.0,1.8709677419354838,3.7347670250896057,86.02150537634408,27
pe,1.25,2,2,True,95.66666666666667,4.333333333333334,19.666666666666664,1.8222996515679442,3.735191637630662,87.2822299651568,37
pe,1.25,2,2,True,93.83333333333333,6.0,16.666666666666664,1.7904085257548845,3.9253996447602133,88.09946714031972,47
pe,1.5,2,2,True,97.5,2.5,7.333333333333333,1.8324786324786324,3.887179487179487,85.8119658119658,7
pe,1.5,2,2,True,97.66666666666667,2.166666666666667,7.333333333333333,1.7764505119453924,3.843003412969283,88.05460750853243,17
pe,1.5,2,2,True,96.33333333333334,3.6666666666666665,6.0,1.944636678200692,3.7716262975778547,84.2560553633218,27
pe,1.5,2,2,True,98.83333333333333,1.1666666666666667,6.0,1.8735244519392917,3.7504215851602023,87.18381112984824,37
pe,1.5,2,2,True,96.66666666666667,3.0,7.000000000000001,1.8913793103448275,3.932758620689655,86.37931034482759,47
pe,1.75,2,2,True,99.0,1.0,2.3333333333333335,1.9124579124579124,3.84006734006734,84.17508417508418,7
pe,1.75,2,2,True,98.83333333333333,1.0,1.3333333333333335,1.8313659359190557,3.8296795952782463,87.18381112984824,17
pe,1.75,2,2,True,98.5,1.1666666666666667,2.666666666666667,2.00507614213198,3.766497461928934,83.58714043993231,27
pe,1.75,2,2,True,99.16666666666667,0.8333333333333334,1.6666666666666667,1.9277310924369748,3.722689075630252,86.05042016806723,37
pe,1.75,2,2,True,98.33333333333333,1.3333333333333335,2.666666666666667,1.994915254237288,3.869491525423729,84.57627118644068,47
pe,2.0,2,2,True,99.0,0.33333333333333337,0.33333333333333337,1.994949494949495,3.84006734006734,83.33333333333334,7
pe,2.0,2,2,True,98.5,0.33333333333333337,0.0,1.9238578680203047,3.793570219966159,86.12521150592217,17
pe,2.0,2,2,True,98.83333333333333,0.5,1.0,2.0893760539629005,3.7352445193929174,81.61888701517707,27
pe,2.0,2,2,True,98.66666666666667,0.33333333333333337,0.6666666666666667,2.0489864864864864,3.6722972972972974,84.7972972972973,37
pe,2.0,2,2,True,98.66666666666667,0.16666666666666669,0.6666666666666667,2.108108108108108,3.83277027027027,82.60135135135135,47
pe,2.25,2,2,True,96.5,0.16666666666666669,0.33333333333333337,2.139896373056995,3.846286701208981,81.86528497409327,7
pe,2.25,2,2,True,96.0,0.16666666666666669,0.0,2.076388888888889,3.7690972222222223,82.46527777777779,17
pe,2.25,2,2,True,97.0,0.16666666666666669,0.33333333333333337,2.218213058419244,3.7285223367697595,79.89690721649485,27
pe,2.25,2,2,True,97.5,0.0,0.0,2.1777777777777776,3.611965811965812,82.22222222222221,37
pe,2.25,2,2,True,97.0,0.16666666666666669,0.0,2.290378006872852,3.752577319587629,78.8659793814433,47
pe,2.5,2,2,True,93.16666666666666,0.16666666666666669,0.0,2.3112701252236136,3.853309481216458,79.24865831842575,7
pe,2.5,2,2,True,92.16666666666666,0.0,0.0,2.298372513562387,3.820976491862568,79.02350813743219,17
pe,2.5,2,2,True,92.83333333333333,0.16666666666666669,0.0,2.4272890484739675,3.6912028725314183,75.94254937163375,27
pe,2.5,2,2,True,92.83333333333333,0.0,0.0,2.3231597845601435,3.6283662477558347,79.17414721723519,37
pe,2.5,2,2,True,93.33333333333333,0.0,0.0,2.4571428571428573,3.7928571428571427,76.42857142857142,47
pe,1.75,1,2,True,68.16666666666666,31.833333333333336,76.0,1.2322738386308068,4.330073349633252,90.70904645476773,7
pe,1.75,1,2,True,65.83333333333333,34.166666666666664,74.33333333333333,1.220253164556962,4.215189873417722,91.13924050632912,17
pe,1.75,1,2,True,66.16666666666666,33.83333333333333,75.0,1.2745591939546599,4.035264483627204,88.16120906801007,27
pe,1.75,1,2,True,63.83333333333333,36.16666666666667,75.0,1.287206266318538,4.031331592689295,88.51174934725849,37
pe,1.75,1,2,True,63.5,36.5,78.0,1.2283464566929134,4.15748031496063,91.86351706036746,47
pe,1.75,3,2,True,1.6666666666666667,0.0,0.0,11.0,0.7,50.0,7
pe,1.75,3,2,True,2.3333333333333335,0.0,0.0,11.0,0.7142857142857143,42.857142857142854,17
pe,1.75,3,2,True,1.5,0.0,0.0,11.555555555555555,1.0,33.33333333333333,27
pe,1.75,3,2,True,2.666666666666667,0.0,0.0,11.1875,0.8125,37.5,37
pe,1.75,3,2,True,1.6666666666666667,0.0,0.0,11.0,0.6,40.0,47
pe,1.75,2,2,False,98.33333333333333,1.6666666666666667,7.333333333333333,1.9203389830508475,3.8152542372881357,84.23728813559322,7
pe,1.75,2,2,False,97.33333333333334,2.666666666666667,6.333333333333334,1.845890410958904,3.88527397260274,86.47260273972603,17
pe,1.75,2,2,False,97.66666666666667,2.3333333333333335,10.0,2.0034129692832763,3.75938566552901,85.6655290102389,27
pe,1.75,2,2,False,96.5,3.5000000000000004,4.333333333333334,1.927461139896373,3.906735751295337,84.6286701208981,37
pe,1.75,2,2,False,96.66666666666667,3.3333333333333335,9.0,1.8413793103448275,4.0344827586206895,87.75862068965517,47
pe,1.75,3,2,False,99.33333333333333,0.16666666666666669,0.33333333333333337,2.325503355704698,3.48993288590604,76.34228187919463,7
pe,1.75,3,2,False,99.5,0.0,0.0,2.2629815745393635,3.5544388609715245,79.22948073701842,17
pe,1.75,3,2,False,100.0,0.0,0.0,2.3983333333333334,3.3433333333333333,76.66666666666667,27
pe,1.75,3,2,False,98.83333333333333,0.16666666666666669,0.0,2.30185497470489,3.551433389544688,76.89713322091062,37
pe,1.75,3,2,False,99.66666666666667,0.16666666666666669,0.0,2.2759197324414715,3.660535117056856,79.26421404682274,47
